date,day_of_week,steps,sleep_hours,deep_sleep,rem_sleep,active_minutes,resting_heart_rate,season,is_weekend
2026-05-01,Friday,6705,6.35,1.23,0.94,75,61,spring,0
2026-05-02,Saturday,13092,7.58,1.53,2.37,120,59,spring,1
2026-05-03,Sunday,10709,8.24,1.47,2.35,105,58,spring,1
2026-05-04,Monday,10893,6.86,1.98,1.81,104,63,spring,0
2026-05-05,Tuesday,8018,7.07,1.79,1.94,84,64,spring,0
2026-05-06,Wednesday,7934,6.16,1.36,1.73,85,63,spring,0
2026-05-07,Thursday,10806,7.99,2.26,2.56,109,59,spring,0
2026-05-08,Friday,9849,7.72,1.6,1.65,100,59,spring,0
2026-05-09,Saturday,11255,7.99,1.62,1.75,108,63,spring,1
2026-05-10,Sunday,10697,7.97,1.9,2.0,105,59,spring,1
2026-05-11,Monday,10252,6.81,1.63,1.75,97,60,spring,0
2026-05-12,Tuesday,11828,7.02,1.22,2.03,119,61,spring,0
2026-05-13,Wednesday,10230,7.32,1.47,1.93,104,62,spring,0
2026-05-14,Thursday,8397,6.49,1.16,2.08,90,61,spring,0
2026-05-15,Friday,10658,6.58,1.25,1.26,106,63,spring,0
2026-05-16,Saturday,11653,6.63,1.76,1.63,115,60,spring,1
2026-05-17,Sunday,12590,7.17,2.03,1.88,120,62,spring,1
2026-05-18,Monday,9401,7.63,1.61,2.12,94,64,spring,0
2026-05-19,Tuesday,9971,6.63,1.56,1.62,108,62,spring,0
2026-05-20,Wednesday,7707,6.64,1.29,1.96,73,63,spring,0
2026-05-21,Thursday,10307,6.96,1.6,2.16,98,66,spring,0
2026-05-22,Friday,8666,5.99,1.15,1.63,87,60,spring,0
2026-05-23,Saturday,9770,8.02,1.82,2.34,98,59,spring,1
2026-05-24,Sunday,11067,8.08,1.63,2.15,114,63,spring,1
2026-05-25,Monday,10628,6.99,1.57,1.35,111,66,spring,0
